1140,11,82
1140,120,321
1231,11,211
1241,11,179
2188,28,119
2188,119,223
2333,27,115
2334,34,285
2379,33,196
2259,36,128
756,41,215
756,216,803
2141,37,148
1239,11,185
745,517,609
752,141,618
752,618,711
6793,11,149
1458,358,692
1458,692,748
1462,24,176
1462,176,688
1897,18,46
1907,11,42
1907,42,194
1992,12,190
2327,41,96
2125,13,327
2190,36,190
2190,190,394
1478,17,220
5402,24,38
2126,11,325
2126,325,440
2247,48,163
2247,163,177
2247,177,331
3841,26,172
3841,172,310
3842,11,65
3842,65,136
3905,13,134
2391,30,249
3015,57,363
3015,363,456
2986,27,333
3910,65,227
3478,74,188
3518,27,141
3525,65,234
3031,50,164
3031,164,279
3031,281,296
3031,296,466
3031,466,514
3909,16,333
6160,36,52
3903,61,427
3836,28,648
3804,48,206
3805,11,118
3538,11,231
3538,231,310
3630,20,240
3894,11,286
3631,16,115
3631,115,390
3631,390,496
3970,67,119
3971,11,77
3971,77,178
3972,11,161
3996,41,292
4344,11,240
4380,26,124
4381,33,258
3830,111,155
6004,14,296
5381,45,209
5390,86,205
5824,11,16
5972,22,264
5318,22,61
5322,11,258
5326,36,320
5360,64,98
5360,98,384
5308,43,386
5312,41,185
5312,185,228
5313,11,122
5314,11,369
5317,68,178
5849,11,146
5935,11,291
5225,22,216
5330,60,120
5815,77,125
5182,11,118
5182,128,130
5183,11,20
5183,71,687
5194,18,137
5194,137,185
5194,185,863
5224,92,409
4678,47,334
5794,11,104
5116,31,242
5137,25,118
5137,118,346
5138,15,81
5140,11,141
5323,11,157
5237,65,144
5125,18,94
5080,18,285
4670,51,350
4674,13,312
5087,45,330
5112,42,472
5115,83,206
5071,11,496
5061,13,441
4646,11,389
4649,18,75
4649,75,454
4588,36,162
4599,54,248
4623,24,376
4628,41,95
4632,13,121
4632,121,221
4633,11,90
4633,131,153
5079,35,62
5037,11,99
5038,11,189
5045,22,208
4671,16,81
4671,81,121
4671,121,144
6104,23,63
4600,40,70
4550,33,97
4552,28,229
4569,18,318
4570,11,233
4571,11,59
4576,11,817
4392,26,108
4392,108,233
4470,17,166
4504,39,47
4504,47,260
4508,11,235
4512,36,281
4517,19,135
4518,26,209
4520,35,80
4520,81,136
4007,48,105
4010,62,234
4010,234,287
4382,19,119
4469,11,475
4002,20,325
4335,12,124
3900,50,503
3900,503,809
3840,57,275
3635,11,170
3644,15,191
3647,11,160
3893,69,276
3893,276,411
3919,28,361
3927,11,209
3704,30,184
3560,15,264
3605,11,115
3606,11,166
3992,85,188
4003,34,99
3997,11,164
3562,11,22
3562,22,41
3813,49,493
3813,493,507
3818,11,434
3698,31,34
3698,34,227
3699,79,152
3699,152,238
3926,18,232
3530,11,251
3530,251,380
3716,32,169
3716,169,234
3513,11,54
3462,13,294
3723,11,246
3650,24,136
3664,31,156
3958,38,214
3965,38,213
2887,11,45
2887,175,300
2888,13,122
2961,11,140
2964,11,191
2964,191,336
2964,336,574
3059,22,167
3964,66,333
3918,60,433
3838,29,135
2830,17,249
2830,249,475
2864,25,257
2883,30,255
3185,42,156
3103,11,175
3103,175,216
3103,216,258
3130,37,78
3177,47,368
3180,11,258
2740,60,271
2740,271,292
2777,44,254
2821,35,221
2822,18,158
2825,14,214
2826,212,243
2826,243,330
2831,11,41
2863,47,224
2735,16,134
3187,11,201
3705,31,355
3712,38,258
3225,24,363
3226,11,226
2987,20,117
2989,11,115
3183,85,127
3184,11,92
2243,52,205
2243,205,302
2243,302,306
2243,306,411
2131,17,128
2137,47,310
5408,126,132
1895,160,319
1896,46,100
1896,100,186
2074,76,183
2075,30,69
2076,40,172
1889,40,122
1889,162,170
2328,11,179
2305,26,180
2298,61,92
2299,198,260
2299,260,318
2304,162,339
2326,84,269
2326,269,313
2189,41,116
2248,28,197
2248,197,274
2335,71,148
2078,45,159
2134,38,138
1331,64,270
1332,18,68
1345,40,246
1345,246,296
1345,296,305
1345,380,519
1345,519,526
1345,526,695
5401,50,59
5385,22,29
5387,20,28
6753,30,31
6161,74,152
1350,20,212
1350,212,465
1402,11,129
1412,11,265
1412,265,266
1412,266,389
1450,38,111
1453,28,122
2206,36,159
2206,160,168
2206,321,340
2207,22,117
2207,117,177
4011,11,270
4204,11,257
4208,11,258
4679,11,268
4682,21,292
5327,11,97
5362,11,23
5362,23,193
5375,77,91
4233,18,42
4264,11,267
4294,11,242
4682,10,21
1336,11,95
1339,11,95
1356,20,106
1359,19,105
3358,74,175
2574,84,184
2582,80,290
2392,11,224
4836,11,271
4879,21,193
6475,57,158
4836,345,455
4843,68,242
4843,242,343
4844,11,168
4851,11,119
4880,22,110
2566,25,354
1035,11,184
1043,47,221
1739,11,321
1749,93,101
1904,170,196
5640,11,284
5655,11,263
5065,11,255
5598,11,203
5636,11,161
5641,11,160
5656,11,167
5714,11,256
2583,42,159
2659,54,128
2662,18,61
2662,61,382
2738,18,313
2738,296,317
3388,98,222
3325,11,495
3325,485,506
5933,30,33
5933,81,82
2576,48,183
1891,32,88
1893,11,23
1869,44,69
1740,11,166
1741,11,58
1659,25,157
1659,157,292
1659,292,296
1729,11,227
1729,227,231
1729,231,279
1729,279,318
1729,318,501
1737,11,142
1045,11,194
5384,11,122
5396,76,187
5409,15,125
5415,11,90
5378,11,54
5421,155,234
6105,11,77
4832,34,154
4832,154,203
4832,203,504
4828,51,172
4828,172,221
4828,221,522
4828,522,598
4832,504,581
5416,11,203
5403,11,203
5403,203,306
6177,56,309
6850,32,182
6182,11,197
6182,197,304
6354,30,323
6366,58,172
6122,11,131
6123,11,96
6162,14,448
6169,11,54
6361,15,169
6371,28,156
6372,35,124
6413,22,135
4134,57,398
4135,16,297
4144,12,166
4152,25,119
4800,11,215
4829,27,235
4829,235,320
6074,11,59
6075,11,64
5814,14,163
5959,49,188
5960,46,153
5960,153,209
6103,41,172
6118,38,168
5817,11,350
5934,11,280
4887,11,290
5044,11,149
5060,41,202
6003,11,289
6485,11,213
6505,36,192
6509,38,173
6573,29,233
7264,77,204
6572,11,127
6572,127,231
6591,25,141
5066,11,34
5066,34,45
6709,11,88
6727,35,114
6581,37,216
6585,23,202
6514,17,205
6519,11,199
6597,12,166
6605,11,165
6708,43,258
7178,11,226
6574,11,209
6749,11,208
7265,11,178
7243,13,180
6781,12,138
5973,33,159
5976,11,145
5982,62,142
5999,22,76
6121,11,219
6005,12,220
6166,18,276
6174,11,229
6176,52,92
